id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_PL_273_EE_0_Seg_0_Seg_0;INET_PL_273_EE_0_Seg_0_Seg_0;['INET_PL_273'];['INET_N_856', 'SEQ_7_p'];[53.01781, 53.00427];[23.896413, 23.06858];['ES', 'PT'];None;{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 1420.0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 1, 'is_bothDirection': None, 'lat_mean': 53.01128, 'length_km': 55.420951, 'long_mean': 23.482474, 'max_cap_M_m3_per_d': 90.4109589, 'max_pressure_bar': 84.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [53.01176], 'path_long': [23.48243], 'start_year': 1999};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.006769999999999499, 'length_km': 0.3333333333333333, 'long_mean': 0.41391649999999913, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': 0};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'raw', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': 'raw'};{}
INET_PL_273_EE_0_Seg_0_Seg_2;INET_PL_273_EE_0_Seg_0_Seg_2;['INET_PL_273'];['SEQ_7_p', 'INET_N_1829'];[53.00427, 52.984994];[23.06858, 22.241386];['ES', 'PT'];None;{'booked_against_dir': 0.0, 'booked_with_dir': 890.0, 'diameter_mm': 1420.0, 'end_year': None, 'est_uniDirection_perc': 100, 'is_H_gas': 1, 'is_bothDirection': None, 'lat_mean': 52.994871, 'length_km': 55.420254, 'long_mean': 22.654952, 'max_cap_M_m3_per_d': 90.4109589, 'max_pressure_bar': 84.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [52.99535], 'path_long': [22.65489], 'start_year': 1999};{'booked_against_dir': 0, 'booked_with_dir': 0, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': 0.5, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.009637999999998923, 'length_km': 0.3333333333333333, 'long_mean': 0.4135970000000011, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': 0};{'booked_against_dir': 'make_Attrib(const)', 'booked_with_dir': 'make_Attrib(const)', 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'raw', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': 'raw'};{}
INET_PL_273_EE_1_Seg_0_Seg_0;INET_PL_273_EE_1_Seg_0_Seg_0;['INET_PL_273'];['INET_N_1829', 'INET_N_329'];[52.984994, 52.881484];[22.241386, 20.619795];['ES', 'PT'];None;{'booked_against_dir': 0.0, 'booked_with_dir': 890.0, 'diameter_mm': 1420.0, 'end_year': None, 'est_uniDirection_perc': 100, 'is_H_gas': 1, 'is_bothDirection': None, 'lat_mean': 52.93462, 'length_km': 109.322286, 'long_mean': 21.430104, 'max_cap_M_m3_per_d': 90.4109589, 'max_pressure_bar': 84.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [52.96119, 52.936, 52.90943], 'path_long': [21.83527, 21.42962, 21.02445], 'start_year': 1999};{'booked_against_dir': 0, 'booked_with_dir': 0, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': 0.5, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.05175499999999999, 'length_km': 0.2, 'long_mean': 0.8107954999999993, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': 0};{'booked_against_dir': 'make_Attrib(const)', 'booked_with_dir': 'make_Attrib(const)', 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'raw', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': 'raw'};{}
INET_PL_311_Seg_0_Seg_0;INET_PL_311_Seg_0_Seg_0;['INET_PL_311'];['INET_N_1234', 'SEQ_44_p'];[48.852, 49.26149];[2.371, 0.97413];['ES', 'PT'];None;{'booked_against_dir': 0.0, 'booked_with_dir': 1024.0, 'diameter_mm': 610.0, 'end_year': None, 'est_uniDirection_perc': 100, 'is_H_gas': 1, 'is_bothDirection': None, 'lat_mean': 49.057865, 'length_km': 111.539157, 'long_mean': 1.674097, 'max_cap_M_m3_per_d': 27.39699999999984, 'max_pressure_bar': 70.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [48.93524, 49.01781, 49.09971, 49.18094], 'path_long': [2.09347, 1.81501, 1.53563, 1.25534], 'start_year': None};{'booked_against_dir': 0, 'booked_with_dir': 0, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': 0.5, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.20474500000000262, 'length_km': 0.16666666666666666, 'long_mean': 0.6984349999999999, 'max_cap_M_m3_per_d': 23.779395485614, 'max_pressure_bar': 12.661920621709703, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{'booked_against_dir': 'make_Attrib(const)', 'booked_with_dir': 'make_Attrib(const)', 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};{}
INET_PL_311_Seg_0_Seg_5;INET_PL_311_Seg_0_Seg_5;['INET_PL_311'];['SEQ_44_p', 'SEQ_76_p'];[49.26149, 49.42052];[0.97413, 0.40896];['ES', 'PT'];None;{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 610.0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 1, 'is_bothDirection': None, 'lat_mean': 49.34112, 'length_km': 44.615498, 'long_mean': 0.691697, 'max_cap_M_m3_per_d': 27.39699999999984, 'max_pressure_bar': 70.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [49.34135], 'path_long': [0.692], 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.07951500000000067, 'length_km': 0.3333333333333333, 'long_mean': 0.28258500000000003, 'max_cap_M_m3_per_d': 23.779395485614, 'max_pressure_bar': 12.661920621709703, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};{}
INET_PL_357_Seg_0_Seg_0;INET_PL_357_Seg_0_Seg_0;['INET_PL_357'];['INET_N_1613', 'INET_N_1010'];[46.505528, 46.503733];[13.592806, 13.416054];['ES', 'PT'];None;{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 1219.0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 1, 'is_bothDirection': 1, 'lat_mean': 46.50463, 'length_km': 13.533434, 'long_mean': 13.50443, 'max_cap_M_m3_per_d': 101.06657346160868, 'max_pressure_bar': 70.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [], 'path_long': [], 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.0008975000000006615, 'length_km': 0.5, 'long_mean': 0.08837599999999934, 'max_cap_M_m3_per_d': 0.0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'M_Heuristics.app_Phys_Heur_Move_Capacity()', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};{}
INET_PL_359_Seg_0_Seg_0;INET_PL_359_Seg_0_Seg_0;['INET_PL_359'];['INET_N_1613', 'INET_N_1010'];[46.505528, 46.503733];[13.592806, 13.416054];['ES', 'PT'];None;{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 1066.8, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 1, 'is_bothDirection': 1, 'lat_mean': 46.50463, 'length_km': 13.533434, 'long_mean': 13.50443, 'max_cap_M_m3_per_d': 101.06657346160868, 'max_pressure_bar': 70.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [], 'path_long': [], 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.0008975000000006615, 'length_km': 0.5, 'long_mean': 0.08837599999999934, 'max_cap_M_m3_per_d': 0.0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'M_Heuristics.app_Phys_Heur_Move_Capacity()', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};{}
INET_PL_361_Seg_0_Seg_0;INET_PL_361_Seg_0_Seg_0;['INET_PL_361'];['INET_N_1613', 'INET_N_1010'];[46.505528, 46.503733];[13.592806, 13.416054];['ES', 'PT'];None;{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 1219.0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 1, 'is_bothDirection': 1, 'lat_mean': 46.50463, 'length_km': 13.533434, 'long_mean': 13.50443, 'max_cap_M_m3_per_d': 101.06657346160868, 'max_pressure_bar': 70.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [], 'path_long': [], 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.0008975000000006615, 'length_km': 0.5, 'long_mean': 0.08837599999999934, 'max_cap_M_m3_per_d': 0.0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'M_Heuristics.app_Phys_Heur_Move_Capacity()', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};{}
INET_PL_405_Seg_0_Seg_0;INET_PL_405_Seg_0_Seg_0;['INET_PL_405'];['INET_N_1094', 'INET_N_1062'];[38.022844, 38.272079];[15.013029, 15.58877];['ES', 'PT'];None;{'booked_against_dir': 0.0, 'booked_with_dir': 192.0, 'diameter_mm': 1219.0, 'end_year': None, 'est_uniDirection_perc': 100, 'is_H_gas': 1, 'is_bothDirection': None, 'lat_mean': 38.147578, 'length_km': 57.487954, 'long_mean': 15.300736, 'max_cap_M_m3_per_d': 64.81626540319644, 'max_pressure_bar': 75.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [38.14781], 'path_long': [15.30041], 'start_year': None};{'booked_against_dir': 0, 'booked_with_dir': 0, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': 0.5, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.12461749999999937, 'length_km': 0.3333333333333333, 'long_mean': 0.28787050000000036, 'max_cap_M_m3_per_d': 0.8647214445423956, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{'booked_against_dir': 'make_Attrib(const)', 'booked_with_dir': 'make_Attrib(const)', 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': 'make_Attrib(const)', 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_M_Heuristics.PipeSegment_capacity()', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};{}
INET_PL_428_Seg_0_Seg_0;INET_PL_428_Seg_0_Seg_0;['INET_PL_428'];['INET_N_1010', 'INET_N_1087'];[46.503733, 46.398538];[13.416054, 13.186671];['ES', 'PT'];None;{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 1219.0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 1, 'is_bothDirection': None, 'lat_mean': 46.469694, 'length_km': 23.593522, 'long_mean': 13.302474, 'max_cap_M_m3_per_d': 64.81626540319644, 'max_pressure_bar': 75.0, 'nuts_id_1': ['ES6', 'PT1'], 'nuts_id_2': ['ES61', 'PT15'], 'nuts_id_3': ['ES615', 'PT150'], 'path_lat': [46.506812], 'path_long': [13.304698], 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 0, 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.0525974999999974, 'length_km': 0.3333333333333333, 'long_mean': 0.11469150000000017, 'max_cap_M_m3_per_d': 0.8647214445423956, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{'booked_against_dir': None, 'booked_with_dir': None, 'diameter_mm': 'raw', 'end_year': None, 'est_uniDirection_perc': None, 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_M_Heuristics.PipeSegment_capacity()', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};{}
